Strain,Cipro MIC,Moxi MIC,
AA1,32,1,
AA101,128,4,
AA103,128,2,
AA104,NA,NA,*Not measured
AA13,128,4,
AA14,128,4,
AA17,32,1,
AA18,32,2,
AA2,32,2,
AA22,128,4,
AA23,128,4,
AA27,128,4,
AA29,128,4,
AA3,32,1,
AA30,32,2,
AA31,128,2,
AA32,64,0.5,
AA33,128,2,
AA35,64,16,
AA36,16,2,
AA39,128,0.5,
AA4,128,1,
AA41,128,4,
AA45,32,1,
AA46,32,2,
AA5,32,1,
AA51,64,2,
AA52,128,4,
AA53,128,4,
AA55,128,4,
AA57,128,4,
AA59,128,1,
AA6,16,2,
AA60,128,4,
AA61,128,8,
AA62,128,8,
AA63,128,4,
AA64,64,4,
AA65,128,4,
AA67,128,1,
AA68,128,4,
AA69,8,1,
AA70,8,8,
AA76,64,2,
AA77,32,1,
AA78,64,32,
AA79,128,16,
AA8,16,2,
AA80,32,2,
AA87,64,2,
AA91,128,4,
AA92,64,4,
AA93,128,4,
AA94,128,32,
AA95,128,4,
AA99,128,0.5,
AA12,128,,
AA34,32,,
AA40,64,,
AA42,128,,
AA48,64,,
AA73,128,,
AA82,32,,
AA83,256,,
AA84,128,,
AA89,256,,
